date,Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2_tCO2,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-01-01 00:00:00,2.924,1.36,0.205,0.01263,0.88,0.92,0,Weekday,Monday,Light_Load
2018-01-01 00:15:00,2.765,0.544,0.165,0.01244,0.91,1.0,900,Weekday,Monday,Light_Load
2018-01-01 00:30:00,2.962,0.885,0.085,0.01328,0.88,0.94,1800,Weekday,Monday,Light_Load
2018-01-01 00:45:00,3.181,0.57,0.129,0.01506,0.9,0.95,2700,Weekday,Monday,Light_Load
2018-01-01 01:00:00,2.741,1.661,0.175,0.0127,0.85,0.96,3600,Weekday,Monday,Light_Load
2018-01-01 01:15:00,2.741,1.112,0.25,0.01247,0.88,0.94,4500,Weekday,Monday,Light_Load
2018-01-01 01:30:00,3.195,1.46,0.315,0.01549,0.92,0.94,5400,Weekday,Monday,Light_Load
2018-01-01 01:45:00,2.992,0.953,0.219,0.01363,0.87,0.92,6300,Weekday,Monday,Light_Load
2018-01-01 02:00:00,2.683,1.577,0.042,0.0122,0.89,0.98,7200,Weekday,Monday,Light_Load
2018-01-01 02:15:00,2.936,1.362,0.262,0.01354,0.89,0.97,8100,Weekday,Monday,Light_Load
2018-01-01 02:30:00,2.684,1.106,0.283,0.01263,0.82,0.96,9000,Weekday,Monday,Light_Load
2018-01-01 02:45:00,2.684,0.9,0.362,0.0131,0.87,0.95,9900,Weekday,Monday,Light_Load
2018-01-01 03:00:00,2.86,1.679,0.187,0.01351,0.86,0.91,10800,Weekday,Monday,Light_Load
2018-01-01 03:15:00,2.322,0.857,0.2,0.01041,0.88,0.96,11700,Weekday,Monday,Light_Load
2018-01-01 03:30:00,2.369,1.386,0.151,0.01034,0.87,0.92,12600,Weekday,Monday,Light_Load
2018-01-01 03:45:00,2.659,1.274,0.052,0.0114,0.88,0.95,13500,Weekday,Monday,Light_Load
2018-01-01 04:00:00,2.547,0.535,0.154,0.01098,0.94,0.96,14400,Weekday,Monday,Light_Load
2018-01-01 04:15:00,2.879,0.401,0.316,0.01236,0.9,0.93,15300,Weekday,Monday,Light_Load
2018-01-01 04:30:00,2.573,1.017,0.336,0.0118,0.87,0.95,16200,Weekday,Monday,Light_Load
2018-01-01 04:45:00,2.447,1.052,0.032,0.01077,0.86,0.93,17100,Weekday,Monday,Light_Load
2018-01-01 05:00:00,3.166,1.0,0.165,0.0144,0.88,0.97,18000,Weekday,Monday,Light_Load
2018-01-01 05:15:00,2.744,1.551,0.216,0.01239,0.84,0.96,18900,Weekday,Monday,Light_Load
2018-01-01 05:30:00,2.817,1.867,0.198,0.0127,0.86,0.96,19800,Weekday,Monday,Light_Load
2018-01-01 05:45:00,2.444,1.375,0.142,0.0109,0.85,0.95,20700,Weekday,Monday,Light_Load
2018-01-01 06:00:00,6.164,3.049,0.562,0.02905,0.85,0.97,21600,Weekday,Monday,Medium_Load
2018-01-01 06:15:00,6.328,3.123,0.092,0.02775,0.89,0.97,22500,Weekday,Monday,Medium_Load
2018-01-01 06:30:00,6.012,2.013,0.544,0.02646,0.89,0.95,23400,Weekday,Monday,Medium_Load
2018-01-01 06:45:00,6.394,2.373,0.414,0.02854,0.88,0.93,24300,Weekday,Monday,Medium_Load
2018-01-01 07:00:00,6.15,1.946,0.383,0.02843,0.9,0.93,25200,Weekday,Monday,Medium_Load
2018-01-01 07:15:00,6.227,2.272,0.097,0.03081,0.88,0.93,26100,Weekday,Monday,Medium_Load
2018-01-01 07:30:00,6.15,3.263,0.508,0.03113,0.88,0.97,27000,Weekday,Monday,Medium_Load
2018-01-01 07:45:00,6.763,2.256,0.597,0.02984,0.88,0.99,27900,Weekday,Monday,Medium_Load
2018-01-01 08:00:00,11.197,5.291,0.235,0.05484,0.89,0.95,28800,Weekday,Monday,Maximum_Load
2018-01-01 08:15:00,10.936,5.101,0.59,0.04604,0.88,0.95,29700,Weekday,Monday,Medium_Load
2018-01-01 08:30:00,11.406,5.697,1.168,0.0471,0.89,0.97,30600,Weekday,Monday,Maximum_Load
2018-01-01 08:45:00,10.895,4.649,1.07,0.05068,0.86,0.95,31500,Weekday,Monday,Medium_Load
2018-01-01 09:00:00,11.252,5.601,0.667,0.04953,0.85,0.95,32400,Weekday,Monday,Maximum_Load
2018-01-01 09:15:00,10.71,4.829,0.882,0.04794,0.86,0.93,33300,Weekday,Monday,Medium_Load
2018-01-01 09:30:00,10.868,5.412,0.25,0.05031,0.88,0.93,34200,Weekday,Monday,Medium_Load
2018-01-01 09:45:00,11.249,3.777,0.646,0.04992,0.88,0.94,35100,Weekday,Monday,Maximum_Load
2018-01-01 10:00:00,11.385,3.53,0.426,0.04969,0.89,0.98,36000,Weekday,Monday,Maximum_Load
